node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,174.016,108.312,51.7793,1,3.95464,61.4742,31.7377,0.323888,946,471626,52238,0,0,0,0,0,0,527,28
1,0,24.7061,45.2061,128.164,2,9.51275,55.5332,14.3809,0.264756,2110,1138454,62263,0,0,0,0,0,0,527,5
2,0,37.6545,64.7946,106.085,2,2.29547,63.2962,22.7615,0.294511,1361,254270,58004,0,0,0,0,0,0,527,722
3,0,155.227,43.7977,86.6459,1,0.936128,59.0235,30.9475,0.303024,457,106048,58261,0,0,0,0,0,0,527,120
4,0,67.8888,190.314,86.7616,1,1.21051,67.9872,22.0718,0.304232,533,138522,55323,0,0,0,0,0,0,527,157
5,0,236.627,4.68248,164.124,2,6.72486,35.0554,10.7633,0.175145,1537,803720,68816,0,0,0,0,0,0,527,5
6,0,132.985,101.702,24.6287,1,5.59006,60.7306,37.177,0.344992,1270,668278,51334,0,0,0,0,0,0,527,19
7,0,151.978,164.836,48.1116,1,1.75611,65.7298,26.9959,0.314939,515,207154,51924,0,0,0,0,0,0,527,37
8,0,90.5151,76.4426,59.557,1,6.56366,62.3667,31.0642,0.333315,1528,783786,53769,0,0,0,0,0,0,527,52
9,0,226.782,64.1468,118.586,2,10.5747,44.1077,21.4201,0.253675,2338,1265720,64266,0,0,0,0,0,0,527,7
10,0,57.8787,235.812,129.555,2,5.99813,51.2581,10.1702,0.224755,1392,716358,65249,0,0,0,0,0,0,527,6
11,0,119.386,157.943,33.4182,1,5.68338,65.2392,27.1341,0.326856,1289,679486,50943,0,0,0,0,0,0,527,22
12,0,212.419,77.832,99.3324,2,6.0417,50.1018,26.4392,0.275276,1835,711172,58446,0,0,0,0,0,0,527,389
13,0,151.415,114.501,28.4249,1,3.82195,62.8083,34.9967,0.338756,943,455112,51163,0,0,0,0,0,0,527,47
14,0,159.946,200.03,82.7693,1,8.47701,57.1268,22.2857,0.292965,1972,1012298,55204,0,0,0,0,0,0,527,56
15,0,37.3611,57.669,110.517,2,10.831,56.4104,19.7146,0.289853,2685,1289436,57732,0,0,0,0,0,0,527,300
16,0,152.113,125.592,27.1197,1,5.71192,59.2532,32.0448,0.323367,1309,682574,51806,0,0,0,0,0,0,527,32
17,0,179.965,153.887,62.0934,1,3.96742,61.7726,22.7467,0.294956,935,473488,53166,0,0,0,0,0,0,527,19
18,0,224.194,154.178,103.396,2,0.937408,56.1639,17.8582,0.249865,567,103568,58220,0,0,0,0,0,0,527,251
19,0,37.9802,225.896,133.239,2,4.48998,48.2761,11.8699,0.215453,1078,535376,66390,0,0,0,0,0,0,527,7
20,0,117.845,239.301,114.525,2,11.4903,50.5034,16.3456,0.261131,2670,1372202,57924,0,0,0,0,0,0,527,142
21,0,127.726,160.121,35.2269,1,3.83179,66.8469,26.4974,0.32392,1008,454782,51091,0,0,0,0,0,0,527,81
22,0,189.51,166.546,76.7314,1,0.946064,64.1087,21.527,0.288606,528,105586,54392,0,0,0,0,0,0,527,173
23,0,18.1895,13.2702,154.57,2,7.61942,55.3652,9.12933,0.24038,1721,911124,63034,0,0,0,0,0,0,527,3
24,0,242.423,166.549,124.557,2,8.53275,42.4498,15.4626,0.221484,1910,1020754,65995,0,0,0,0,0,0,527,6
25,0,214.919,144.284,91.9634,2,1.12467,59.5164,18.9502,0.265304,515,128224,56280,0,0,0,0,0,0,527,141
26,0,30.3762,187.726,113.527,2,10.3657,41.6351,26.4215,0.261407,2385,1238468,61932,0,0,0,0,0,0,527,73
27,0,102.23,148.275,32.5608,1,5.98674,61.2487,33.6336,0.33623,1418,714310,51476,0,0,0,0,0,0,527,49
28,0,112.967,102.034,25.9277,1,6.08779,60.6017,37.5134,0.347343,1475,725574,51345,0,0,0,0,0,0,527,94
29,0,5.55682,99.9359,122.045,2,9.26408,53.2184,17.6067,0.266964,2121,1107106,62931,0,0,0,0,0,0,527,7
30,0,132.116,3.32951,121.878,2,11.9942,45.1855,31.5461,0.295753,2677,1435024,63634,0,0,0,0,0,0,527,2
31,0,114.625,11.9824,113.493,2,12.3777,45.5079,31.0984,0.296613,3039,1474272,60270,0,0,0,0,0,0,527,268
32,0,52.7271,211.047,112.372,2,4.53658,51.5863,19.5416,0.252215,1324,535296,60632,0,0,0,0,0,0,527,241
33,0,165.519,162.663,55.32,1,5.97643,62.9021,24.3639,0.310808,1401,713430,51938,0,0,0,0,0,0,527,52
34,0,214.439,4.92229,149.726,2,7.1599,45.7292,7.55672,0.201486,1624,856012,65957,0,0,0,0,0,0,527,0
35,0,247.619,34.3929,152.463,2,5.49938,31.2486,15.9812,0.175764,1283,656630,69810,0,0,0,0,0,0,527,4
36,0,181.493,68.3728,79.9883,1,0.808304,59.9704,31.8011,0.308599,371,92134,56264,0,0,0,0,0,0,527,69
37,0,165.171,91.9175,52.04,1,4.12998,60.5414,34.5668,0.330794,1012,491960,52608,0,0,0,0,0,0,527,31
38,0,53.8828,66.3327,92.1928,2,4.95438,66.4194,23.6917,0.316885,1401,585674,55624,0,0,0,0,0,0,527,250
39,0,77.682,50.8563,87.9562,1,0.698688,70.8924,22.3755,0.313222,474,75960,54918,0,0,0,0,0,0,527,220
40,0,64.8041,78.738,75.9191,1,6.31741,65.6252,26.7483,0.32897,1495,753796,54647,0,0,0,0,0,0,527,65
41,0,14.1817,69.8522,123.782,2,7.5727,52.1059,20.4522,0.267102,1705,905668,63627,0,0,0,0,0,0,527,3
42,0,229.515,162.306,110.974,2,1.73386,54.9799,15.8432,0.241857,641,201348,58751,0,0,0,0,0,0,527,128
43,0,63.3386,178.828,81.851,1,10.408,56.741,26.2796,0.311429,2418,1242974,55945,0,0,0,0,0,0,527,118
44,0,76.276,82.8563,64.4215,1,0.870528,68.2974,30.9074,0.333585,539,95880,54188,0,0,0,0,0,0,527,210
45,0,154.226,123.311,29.2749,1,5.67981,59.192,32.0862,0.323193,1275,679376,51794,0,0,0,0,0,0,527,23
46,0,181.258,162.431,67.5724,1,7.14277,57.8622,22.7327,0.292459,1606,854302,53640,0,0,0,0,0,0,527,27
47,0,91.8033,126.793,33.2451,1,4.12066,61.667,36.6933,0.341603,1085,489042,51660,0,0,0,0,0,0,527,107
