node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,199.818,169.961,87.2879,1,0.616992,25.6157,14.0881,0.134403,333,69132,21657,0,0,0,0,0,0,527,40
1,0,9.03692,237.9,161.845,2,5.76619,17.1853,2.84943,0.086003,1319,689118,26865,0,0,0,0,0,0,527,0
2,0,174.418,39.2036,99.0111,2,0.5756,37.1225,6.19115,0.146298,305,64630,19487,0,0,0,0,0,0,527,19
3,0,211.547,85.0845,95.308,2,0.284912,35.246,6.78151,0.141041,168,31582,19806,0,0,0,0,0,0,527,1
4,0,206.088,43.6702,114.847,2,0.353008,35.1118,6.30066,0.139218,246,38222,20309,0,0,0,0,0,0,527,68
5,0,115.724,24.6412,100.787,2,0.391328,34.2126,8.92118,0.145084,287,42028,20537,0,0,0,0,0,0,527,85
6,0,192.877,93.8212,74.6958,1,5.20821,32.8253,7.1099,0.150478,1224,621650,18637,0,0,0,0,0,0,527,43
7,0,106.432,241.753,118.22,2,2.65074,24.499,5.1925,0.107808,662,315454,25387,0,0,0,0,0,0,527,0
8,0,70.5104,145.54,58.2323,1,2.0213,26.7604,8.47091,0.124175,581,238718,20820,0,0,0,0,0,0,527,0
9,0,124.869,72.7661,52.2341,1,4.1208,29.9835,11.0265,0.150436,1016,490716,19558,0,0,0,0,0,0,527,1
10,0,142.473,218.941,95.5519,2,0.265312,25.4968,8.66168,0.114746,171,29060,22153,0,0,0,0,0,0,527,8
11,0,231.616,239.238,156.261,2,1.75875,4.21578,7.60431,0.0452628,495,207964,31119,0,0,0,0,0,0,527,0
12,0,73.1894,58.1483,84.5783,1,3.17955,20.2608,12.4606,0.11967,800,378244,23004,0,0,0,0,0,0,527,4
13,0,66.7425,21.293,118.95,2,6.46437,13.2762,6.32225,0.086876,1479,772550,28213,0,0,0,0,0,0,527,0
14,0,187.714,96.3533,68.9468,1,6.84931,30.783,7.6603,0.150975,1576,818340,18750,0,0,0,0,0,0,527,48
15,0,151.664,40.7137,88.4034,1,10.5316,25.7444,7.28956,0.145219,2385,1259214,20142,0,0,0,0,0,0,527,89
16,0,100.373,201.093,79.9794,1,7.29949,23.3299,4.83103,0.118201,1631,873292,20932,0,0,0,0,0,0,527,4
17,0,135.228,189.378,65.1854,1,4.54549,28.5403,8.82471,0.139702,1090,542026,19287,0,0,0,0,0,0,527,0
18,0,99.5811,200.366,79.5375,1,6.46584,24.2758,4.70067,0.118141,2142,756822,20927,0,0,0,0,0,0,527,668
19,0,212.15,20.5747,136.014,2,4.38072,31.288,3.57086,0.130799,1031,522846,23474,0,0,0,0,0,0,527,0
20,0,235.641,130.838,110.795,2,0.489824,21.545,15.067,0.123673,477,49780,23531,0,0,0,0,0,0,527,165
21,0,153.737,190.155,71.2108,1,0.414128,32.2057,8.64012,0.137533,257,45598,19666,0,0,0,0,0,0,527,15
22,0,53.8971,223.216,121.252,2,2.90134,25.188,3.94823,0.106792,716,345484,25187,0,0,0,0,0,0,527,0
23,0,191.818,105.831,69.5136,1,8.13733,28.2982,8.79796,0.150778,2091,966982,18800,0,0,0,0,0,0,527,227
24,0,208.035,7.19936,144.124,2,6.55576,28.6789,3.60697,0.129472,1481,783926,23901,0,0,0,0,0,0,527,0
25,0,70.3726,178.184,76.241,1,2.57861,26.5931,5.88624,0.11686,643,306894,21354,0,0,0,0,0,0,527,0
26,0,94.6764,149.347,38.8885,1,6.36056,27.791,9.11558,0.144224,1459,760054,18982,0,0,0,0,0,0,527,0
27,0,183.229,70.1084,80.023,1,2.7108,34.0026,7.14033,0.146179,709,321834,19423,0,0,0,0,0,0,527,0
28,0,149.228,125.688,24.2378,1,4.36982,32.3456,11.2139,0.159764,997,522300,17229,0,0,0,0,0,0,527,1
29,0,33.7569,159.069,97.396,2,0.242944,26.1256,7.90162,0.114234,162,26480,22541,0,0,0,0,0,0,527,0
30,1,125,125,0,0,2.18298,31.8754,13.0406,0.156997,5503,140800,17917,0,0,0,0,0,0,0,0
