node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,178.278,73.7291,73.9407,1,29.0232,128.306,42.959,0.667628,14446,3281194,95484,6040,0,0,0,0,0,1054,8929
1,0,139.835,24.8351,101.258,2,9.63944,143.61,38.0035,0.637511,2017,1156522,100233,0,0,0,0,0,0,1054,0
2,0,27.1248,56.5281,119.449,2,0.008448,80.8034,56.2105,0.456741,12,768,135982,0,0,0,0,0,0,1054,0
3,0,187.696,203.712,100.63,2,6.52054,126.471,51.6257,0.61539,1368,782236,104962,2,0,0,0,0,0,1054,0
4,0,153.248,96.804,39.9121,1,7.96213,130.825,70.9996,0.699289,1665,955306,94991,1,0,0,0,0,0,1054,0
5,0,158.588,53.1744,79.291,1,7.23544,148.632,38.5303,0.647992,1516,868046,96445,379,0,0,0,0,0,1054,0
6,0,1.85794,105.955,124.606,2,6.54014,85.3211,42.7406,0.448673,1372,784590,132324,0,0,0,0,0,0,1054,0
7,0,221.339,165.95,104.681,2,8.43733,100.36,80.5136,0.631037,1764,1012330,113670,0,0,0,0,0,0,1054,0
8,0,45.8361,8.93434,140.493,2,3.76024,68.0657,51.9202,0.412487,792,451022,137999,0,0,0,0,0,0,1054,0
9,0,214.279,178.931,104.304,2,7.99502,109.298,76.3323,0.645419,1671,959274,111042,0,0,0,0,0,0,1054,0
10,0,103.031,162.155,43.164,1,18.1675,111.47,79.6064,0.697479,7480,2091416,98228,317,0,0,0,0,0,1054,3885
11,0,122.577,179.502,54.5559,1,28.1367,113.197,57.9218,0.664185,8020,3324610,100219,231,0,0,0,0,0,1054,2278
12,0,121.182,131.513,7.55001,1,5.09102,121.403,87.1795,0.712244,1066,610794,97916,0,0,0,0,0,0,1054,0
13,0,213.374,41.3988,121.652,2,5.15594,139.588,27.1605,0.573016,1082,618524,113800,0,0,0,0,0,0,1054,0
14,0,229.748,153.954,108.676,2,8.64782,100.322,80.2792,0.630831,1807,1037610,113067,0,0,0,0,0,0,1054,0
15,0,194.074,180.035,88.3182,1,1.49514,130.668,66.7029,0.662887,4884,69676,104615,0,0,0,0,0,0,1054,4858
16,0,201.491,60.3697,100.139,2,8.91394,141.725,35.7724,0.62137,1865,1069482,99339,0,0,0,0,0,0,1054,0
17,0,144.735,70.8551,57.6292,1,9.09069,144.541,53.7878,0.691397,2499,1076360,95050,138,0,0,0,0,0,1054,611
