node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,221.853,238.603,149.285,2,9.00853,16.8023,2.27335,0.0936138,1883,1080874,27402,0,0,0,0,0,0,527,0
1,0,238.069,155.372,117.078,2,0.008448,20.047,8.04318,0.093662,12,768,29341,0,0,0,0,0,0,527,0
2,0,160.089,237.613,117.953,2,3.35523,24.1033,4.72489,0.107278,706,402460,26613,0,0,0,0,0,0,527,0
3,0,168.216,10.2933,122.578,2,4.57144,17.0745,5.19736,0.0894776,961,548366,29022,0,0,0,0,0,0,527,0
4,0,210.394,204.139,116.426,2,2.40664,24.3551,6.10517,0.109556,510,288590,23154,0,0,0,0,0,0,527,0
5,0,195.628,183.817,91.9114,2,2.38264,25.9582,5.12658,0.111558,505,285710,22789,0,0,0,0,0,0,527,0
6,0,119.347,216.551,91.7249,2,5.13422,22.8952,6.13488,0.113881,1075,615978,22454,0,0,0,0,0,0,527,0
7,0,78.8811,226.633,111.608,2,2.97304,20.9057,8.02582,0.106349,628,356558,23899,0,0,0,0,0,0,527,0
8,0,0.342743,143.872,126.078,3,5.79363,16.2043,6.15336,0.0938377,1214,695068,28740,0,0,0,0,0,0,527,0
9,0,118.631,68.0128,57.342,1,8.10024,18.2218,9.19603,0.118393,3124,937554,22264,0,0,0,0,0,0,527,1491
10,0,67.0997,246.779,134.842,2,0.008448,22.0095,6.44075,0.0948625,12,768,28232,0,0,0,0,0,0,527,0
11,0,232.429,46.2307,133.213,2,0.008448,15.8312,4.76953,0.0686974,12,768,30726,0,0,0,0,0,0,527,0
12,0,113.361,111.836,17.5717,1,2.53262,26.7496,13.8394,0.143739,533,303786,20616,0,0,0,0,0,0,527,0
13,0,63.2435,218.549,112.095,2,0.008448,23.3812,8.18359,0.105244,12,768,24392,0,0,0,0,0,0,527,0
14,0,72.2154,79.865,69.4506,1,7.39096,21.0924,6.6499,0.117111,2981,852326,21551,0,0,0,0,0,0,527,1524
15,0,143.985,202.009,79.3147,1,12.2349,16.2052,5.70641,0.113822,4857,1412790,22501,0,0,0,0,0,0,527,2427
16,0,60.3712,208.728,105.77,2,0.008448,22.4891,9.98299,0.108269,12,768,24562,0,0,0,0,0,0,527,0
17,0,186.783,110.327,63.5013,1,3.95523,19.083,16.1998,0.130794,831,474460,23673,0,0,0,0,0,0,527,0
18,0,22.2629,95.8373,106.796,2,7.70731,20.1668,5.25415,0.110428,2053,914142,22434,0,0,0,0,0,0,527,470
19,0,104.514,191.243,69.3386,1,4.72323,23.4577,10.2628,0.128146,1225,561004,21938,0,0,0,0,0,0,527,238
20,0,49.8195,12.2605,135.508,2,0.008448,24.4556,7.38811,0.106174,12,768,26964,0,0,0,0,0,0,527,0
21,0,168.51,4.95508,127.687,2,6.23523,15.4888,4.33782,0.0868727,1306,748060,29026,0,0,0,0,0,0,527,0
22,0,199.142,178.877,91.6501,2,1.28824,26.9865,4.97832,0.110844,277,154382,22744,0,0,0,0,0,0,527,0
23,0,73.8338,82.2056,66.7034,1,2.54584,25.5435,7.45262,0.118473,539,305294,21525,0,0,0,0,0,0,527,0
24,0,67.0335,34.1387,107.777,2,4.89123,23.8666,5.9497,0.115692,1026,586780,22300,0,0,0,0,0,0,527,0
25,0,92.9887,3.93546,125.225,2,5.14563,22.7783,5.27141,0.110651,1079,617308,26530,0,0,0,0,0,0,527,0
26,0,86.1819,240.905,122.233,2,2.97304,21.343,6.20027,0.101721,628,356558,27436,0,0,0,0,0,0,527,0
27,0,48.9636,241.969,139.511,2,1.68184,20.7153,5.98874,0.0946196,359,201614,28529,0,0,0,0,0,0,527,0
28,0,20.9459,57.5367,124.01,2,5.39342,23.4005,2.95251,0.105822,1129,647082,26030,0,0,0,0,0,0,527,0
29,0,40.1187,232.428,136.914,2,1.81144,19.3849,7.23433,0.0947688,386,217166,29130,0,0,0,0,0,0,527,0
30,1,125,125,0,0,1.59117,27.0649,13.1838,0.139466,5217,73688,21580,0,0,0,0,0,0,0,0
