node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,200.132,86.6248,84.3654,1,15.3063,15.6141,10.0356,0.13652,4971,1793986,25033,0,0,0,0,0,0,527,1819
1,0,242.521,122.571,117.546,2,5.27413,31.2748,4.25773,0.136022,1105,632746,27154,0,0,0,0,0,0,527,0
2,0,83.3235,82.74,59.3535,1,6.8595,21.4667,12.0325,0.134529,1874,812462,25590,0,0,0,0,0,0,527,462
3,0,213.652,207.914,121.384,2,5.59502,20.1724,7.92722,0.112315,1171,671274,31040,0,0,0,0,0,0,527,0
4,0,167.793,210.368,95.4934,2,4.81443,20.2418,14.8746,0.133103,1010,577564,27621,0,0,0,0,0,0,527,0
5,0,32.6496,43.3369,123.278,2,4.89224,16.3082,5.48184,0.0889409,1028,586858,32871,0,0,0,0,0,0,527,0
6,0,88.2026,125.274,36.7984,1,5.84638,25.7146,9.53316,0.136981,1331,698854,24088,0,0,0,0,0,0,527,112
7,0,37.4422,6.27541,147.519,2,3.13624,13.7909,2.50606,0.0647774,662,376142,33857,0,0,0,0,0,0,527,0
8,0,17.1623,248.805,164.185,2,7.01974,16.1817,2.82966,0.0867704,1472,842140,32078,0,0,0,0,0,0,527,0
9,0,78.5534,162.34,59.5953,1,8.25434,24.7032,6.93661,0.13298,2032,983024,24119,0,0,0,0,0,0,527,323
10,0,63.981,117.861,61.4352,1,5.79843,25.0259,7.82177,0.12882,1215,695644,24730,0,0,0,0,0,0,527,0
11,0,193.14,98.9756,72.9403,1,1.97944,30.7511,11.2546,0.146617,421,237326,23930,0,0,0,0,0,0,527,0
12,0,180.344,97.8419,61.648,1,6.81422,25.3737,12.7264,0.149714,1425,817578,24142,0,0,0,0,0,0,527,0
13,0,93.2514,169.262,54.4708,1,3.98373,28.3403,9.1009,0.138083,1187,469478,24115,0,0,0,0,0,0,527,322
14,0,60.1208,4.17103,137.146,2,2.94424,12.2947,5.24996,0.0682963,622,353102,34217,0,0,0,0,0,0,527,0
15,0,198.168,210.087,112.221,2,5.35022,21.3281,10.9059,0.125281,1120,641898,27588,0,0,0,0,0,0,527,0
16,0,86.2811,193.405,78.6026,1,7.298,22.6223,9.89064,0.132703,1824,868474,25456,0,0,0,0,0,0,527,307
17,0,14.8674,160.759,115.793,2,2.24344,27.8908,7.2338,0.12456,476,269006,26117,0,0,0,0,0,0,527,0
18,0,200.767,172.188,89.2603,1,0.432688,34.3504,10.0598,0.149476,1397,20558,24834,0,0,0,0,0,0,527,1376
19,0,1.76357,163.359,129.068,2,3.50434,25.757,6.57995,0.119471,738,420330,30628,0,0,0,0,0,0,527,0
20,0,19.1273,226.053,146.358,2,0.008448,24.2903,6.49271,0.102638,12,768,31751,0,0,0,0,0,0,527,0
21,0,75.296,128.652,49.838,1,3.50883,27.2676,9.5581,0.134448,738,420892,24431,0,0,0,0,0,0,527,0
22,0,226.077,34.4681,135.693,2,1.20664,24.2499,5.95181,0.104694,260,144590,30585,0,0,0,0,0,0,527,0
23,0,248.4,139.16,124.21,2,3.43203,33.4117,3.80474,0.135495,722,411676,27059,0,0,0,0,0,0,527,0
24,0,233.518,167.894,116.688,2,4.22504,31.4678,5.11102,0.136013,889,506794,27417,0,0,0,0,0,0,527,0
25,0,24.5991,17.2694,147.262,2,0.008448,16.9273,3.4718,0.0680252,12,768,33830,0,0,0,0,0,0,527,0
26,0,243.86,137.223,119.486,2,5.39822,31.5004,3.91157,0.136034,1130,647658,27067,0,0,0,0,0,0,527,0
27,0,10.7518,121.751,114.294,2,0.008448,27.7322,9.18945,0.1231,12,768,26574,0,0,0,0,0,0,527,0
28,0,233.413,201.709,132.807,2,3.47043,19.9805,8.82256,0.107578,730,416284,31527,0,0,0,0,0,0,527,0
29,0,198.1,74.8488,88.6499,1,0.008448,30.4596,11.0234,0.138305,12,768,24997,0,0,0,0,0,0,527,0
30,1,125,125,0,0,1.95296,31.8075,13.0691,0.156098,6390,90760,23296,0,0,0,0,0,0,0,0
