node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,120.2,228.73,103.841,2,8.97194,42.6078,16.496,0.226919,1877,1076444,34141,0,0,0,0,0,0,1054,0
1,0,116.989,96.147,29.9444,1,10.947,42.9501,10.6682,0.215218,2286,1313514,30825,0,0,0,0,0,0,1054,0
2,0,73.4618,210.242,99.6115,2,7.40643,50.1268,11.4576,0.22997,1550,888604,33058,0,0,0,0,0,0,1054,0
3,0,219.637,152.892,98.662,2,0.008448,26.1715,17.3641,0.145147,12,768,40172,0,0,0,0,0,0,1054,0
4,0,100.831,157.993,40.8987,1,19.5327,41.7356,9.25245,0.235069,5763,2303280,29204,0,0,0,0,0,0,1054,1772
5,0,87.1318,204.488,88.0472,1,0.40464,56.3022,13.048,0.232516,1310,19140,32168,0,0,0,0,0,0,1054,1294
6,0,1.22637,89.2531,128.832,2,0.404032,21.9328,14.0141,0.12117,1308,19112,47058,0,0,0,0,0,0,1054,1292
7,0,0.364174,16.8468,165.019,3,7.04714,10.7105,3.31258,0.0702342,1476,845468,48031,0,0,0,0,0,0,1054,0
8,0,51.434,227.685,126.317,2,0.008448,56.6621,8.0952,0.215886,12,768,39246,0,0,0,0,0,0,1054,0
9,0,42.453,238.761,140.554,2,0.008448,53.1657,4.84558,0.193399,12,768,40072,0,0,0,0,0,0,1054,0
10,0,59.8873,0.13586,140.822,3,7.10403,14.8373,4.02286,0.0865475,1487,852316,47773,0,0,0,0,0,0,1054,0
11,0,141.425,155.592,34.7226,1,10.3333,48.9105,10.2901,0.23178,2159,1239850,29518,0,0,0,0,0,0,1054,0
12,0,59.1761,247.949,139.461,2,2.77624,50.0719,6.1411,0.196631,587,332942,40181,0,0,0,0,0,0,1054,0
13,0,46.6416,151.461,82.7057,1,0.008448,55.4052,15.042,0.234852,12,768,32523,0,0,0,0,0,0,1054,0
14,0,128.999,108.28,17.191,1,10.2942,45.632,10.2086,0.220449,2150,1235178,30474,0,0,0,0,0,0,1054,0
15,0,50.5022,145.728,77.3278,1,11.5518,43.7373,15.2059,0.234983,2412,1386090,32557,0,0,0,0,0,0,1054,0
16,0,211.475,232.871,138.254,2,17.3948,16.6607,4.95489,0.130035,3631,2087210,46092,0,0,0,0,0,0,1054,0
17,0,13.685,161.489,117.143,2,5.48344,32.7733,19.8331,0.193633,1151,657806,43209,0,0,0,0,0,0,1054,0
18,0,4.51629,31.6671,152.405,3,6.79683,10.9522,4.56689,0.0743864,1423,815452,48028,0,0,0,0,0,0,1054,0
19,0,184.051,51.749,94.0888,2,0.008448,19.8648,15.5432,0.118055,12,768,40618,0,0,0,0,0,0,1054,0
20,0,220.939,128.42,96.0002,2,0.008448,26.2775,16.983,0.14423,12,768,39795,0,0,0,0,0,0,1054,0
21,0,74.5224,185.671,78.924,1,2.49304,53.5238,14.5971,0.23538,528,298958,31894,0,0,0,0,0,0,1054,0
22,0,163.338,114.683,39.7022,1,7.14723,40.9325,12.9821,0.203539,1496,857500,32302,0,0,0,0,0,0,1054,0
23,0,22.9142,65.8804,117.969,2,0.40464,28.2324,12.0569,0.135646,1310,19140,45652,0,0,0,0,0,0,1054,1294
24,0,147.225,167.049,47.5606,1,10.3717,47.5364,11.5939,0.231674,2167,1244458,30020,0,0,0,0,0,0,1054,0
25,0,205.718,151.569,84.9785,1,0.334016,46.3556,15.0483,0.205793,1079,15856,34467,0,0,0,0,0,0,1054,1040
26,0,53.6391,244.705,139.362,2,14.1486,38.9523,5.41702,0.19506,2953,1697706,40210,0,0,0,0,0,0,1054,0
27,0,64.603,19.6604,121.426,3,6.50403,18.451,5.71094,0.10222,1362,780316,47105,0,0,0,0,0,0,1054,0
28,0,121.021,218.209,93.2938,2,2.69944,50.9512,15.8706,0.231737,571,323726,33494,0,0,0,0,0,0,1054,0
29,0,102.45,155.456,37.8955,1,10.3662,50.3099,10.132,0.236027,2165,1243818,29203,0,0,0,0,0,0,1054,0
30,1,125,125,0,0,3.08462,51.8558,12.5924,0.225109,10106,143034,31007,0,0,0,0,0,0,0,0
