node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,229.244,54.5642,125.81,2,17.788,74.4902,15.8768,0.360517,4701,2110670,76982,0,0,0,0,0,0,1054,1054
1,0,102.328,160.765,42.346,1,11.6819,90.0265,37.6568,0.464551,2879,1391142,60894,0,0,0,0,0,0,1054,465
2,0,176.604,150.018,57.3482,1,14.5785,84.6421,36.602,0.452742,4995,1702428,62141,0,0,0,0,0,0,1054,2079
3,0,231.848,174.163,117.616,2,22.5016,48.8094,20.2294,0.305135,5682,2676338,81890,0,0,0,0,0,0,1054,1050
4,0,5.89971,110.056,120.034,2,6.57784,86.2962,19.6595,0.375112,1379,789134,78596,0,0,0,0,0,0,1054,0
5,0,44.2542,62.2877,102.238,2,4.98454,84.3689,22.7353,0.373629,1048,597916,67308,0,0,0,0,0,0,1054,0
6,0,243.576,18.146,159.619,2,8.59384,65.589,14.5405,0.295744,1799,1031054,82078,0,0,0,0,0,0,1054,0
7,0,132.174,57.8604,67.5218,1,23.1084,64.6956,41.7695,0.431912,6121,2741644,66571,0,0,0,0,0,0,1054,1289
8,0,72.8443,124.585,52.1573,1,34.5869,71.5833,21.7649,0.42645,9635,4092120,62739,0,0,0,0,0,0,1054,2575
9,0,15.0154,216.276,142.927,2,9.40803,82.5599,9.60845,0.338588,1967,1128796,78698,0,0,0,0,0,0,1054,0
10,0,244.703,6.19701,168.65,3,11.0142,59.9471,10.1047,0.27022,2300,1321578,82911,0,0,0,0,0,0,1054,0
11,0,44.2104,80.8884,92.0477,2,11.6958,77.9728,25.7439,0.384708,2442,1403370,67121,0,0,0,0,0,0,1054,0
12,0,132.342,232.833,108.082,2,0.082112,57.3155,41.6904,0.330293,253,4192,77097,0,0,0,0,0,0,1054,240
13,0,240.578,248.49,169.139,3,12.0949,17.7413,8.54174,0.127927,2526,1451242,94395,0,0,0,0,0,0,1054,0
14,0,187.323,96.8154,68.3995,1,41.2982,54.1286,24.0406,0.398224,10588,4908160,64445,0,0,0,0,0,0,1054,2108
15,0,93.9984,159.691,46.5246,1,9.30243,92.4401,37.6322,0.464582,1945,1116124,61083,0,0,0,0,0,0,1054,0
16,0,39.2039,242.302,145.33,2,7.83843,51.6088,21.2231,0.268901,1640,940444,87266,0,0,0,0,0,0,1054,0
17,0,243.783,14.1756,162.455,2,9.29944,64.8751,14.2362,0.294703,1946,1115726,82123,0,0,0,0,0,0,1054,0
18,0,65.6983,51.6378,94.333,2,13.4958,79.8966,19.6997,0.376974,2817,1619370,66593,0,0,0,0,0,0,1054,0
19,0,66.1705,54.6681,91.6923,2,0.008448,93.699,19.4284,0.37712,12,768,64482,0,0,0,0,0,0,1054,0
20,0,18.3102,100.277,109.517,2,11.5617,83.3512,21.2811,0.387313,2415,1387256,66742,0,0,0,0,0,0,1054,0
21,0,85.4267,190.675,76.6761,1,34.9755,60.189,24.0023,0.397222,8524,4167360,64727,0,0,0,0,0,0,1054,1292
22,0,189.53,80.8295,78.1994,1,0.29744,88.9044,24.2273,0.378097,960,14140,66263,0,0,0,0,0,0,1054,907
23,0,22.0207,129.479,103.077,2,7.84504,90.4984,17.148,0.384971,1643,941198,65681,0,0,0,0,0,0,1054,0
24,0,156.375,82.571,52.7692,1,6.85994,83.729,40.1684,0.435858,1437,823004,63111,0,0,0,0,0,0,1054,0
25,0,26.1888,161.918,105.482,2,0.008448,94.1416,20.5197,0.382232,12,768,66828,0,0,0,0,0,0,1054,0
26,0,65.3813,116.463,60.2268,1,0.008448,105.091,23.403,0.428341,12,768,62840,0,0,0,0,0,0,1054,0
27,0,106.405,129.779,19.1988,1,7.56782,89.6585,41.9639,0.463968,1582,908010,59951,0,0,0,0,0,0,1054,0
28,0,167.045,248.296,130.268,3,2.37784,58.204,18.7993,0.264604,504,285134,86479,0,0,0,0,0,0,1054,0
29,0,153.076,77.7526,54.9596,1,2.53624,88.0264,40.2447,0.436024,537,304142,63128,0,0,0,0,0,0,1054,0
30,1,125,125,0,0,5.38218,89.0714,41.2793,0.452443,17669,248716,61406,0,0,0,0,0,0,0,0
