node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,221.853,238.603,149.285,2,3.48648,58.3074,11.7566,0.245168,870,414930,72454,0,0,0,0,0,0,527,8
1,0,238.069,155.372,117.078,2,9.68662,49.43,22.0069,0.270412,2199,1158052,72335,0,0,0,0,0,0,527,4
2,0,160.089,237.613,117.953,2,9.45019,60.2936,23.9962,0.312467,2131,1130130,68995,0,0,0,0,0,0,527,0
3,0,168.216,10.2933,122.578,2,8.15776,54.2097,20.1189,0.274955,1829,975824,72989,0,0,0,0,0,0,527,4
4,0,210.394,204.139,116.426,2,0.91408,65.7241,21.1797,0.292727,415,104300,67229,0,0,0,0,0,0,527,93
5,0,195.628,183.817,91.9114,2,1.51909,72.2257,21.9595,0.319014,922,167758,63892,0,0,0,0,0,0,527,477
6,0,119.347,216.551,91.7249,2,10.1943,62.2473,28.1422,0.335279,2438,1215774,63725,0,0,0,0,0,0,527,146
7,0,78.8811,226.633,111.608,2,1.59402,69.2088,20.8808,0.305612,742,181444,65143,0,0,0,0,0,0,527,279
8,0,0.342743,143.872,126.078,2,10.7028,44.4315,30.154,0.284294,2396,1280346,73988,0,0,0,0,0,0,527,0
9,0,118.631,68.0128,57.342,1,6.12915,61.3801,31.7799,0.330964,1428,731872,64154,0,0,0,0,0,0,527,37
10,0,67.0997,246.779,134.842,2,5.44514,61.6243,16.6842,0.279179,1261,650378,69508,0,0,0,0,0,0,527,0
11,0,232.429,46.2307,133.213,2,11.1056,39.1728,17.4076,0.22562,2439,1329670,76043,0,0,0,0,0,0,527,0
12,0,113.361,111.836,17.5717,1,5.81707,50.8394,52.0502,0.362356,1405,693414,63973,0,0,0,0,0,0,527,82
13,0,63.2435,218.549,112.095,2,5.93662,64.6597,20.1106,0.302357,1827,698230,65277,0,0,0,0,0,0,527,456
14,0,72.2154,79.865,69.4506,1,2.64326,69.4421,25.7732,0.326195,822,310680,64110,0,0,0,0,0,0,527,100
15,0,143.985,202.009,79.3147,1,1.18173,70.8363,31.171,0.343963,899,126140,63651,0,0,0,0,0,0,527,489
16,0,60.3712,208.728,105.77,2,0.973968,71.0856,21.5687,0.312094,850,101346,64555,0,0,0,0,0,0,527,541
17,0,186.783,110.327,63.5013,1,4.32654,58.2635,34.1497,0.322466,1133,513626,64345,0,0,0,0,0,0,527,85
18,0,22.2629,95.8373,106.796,2,11.3684,56.5058,23.2746,0.303829,2693,1356412,67757,0,0,0,0,0,0,527,182
19,0,104.514,191.243,69.3386,1,5.38586,64.589,35.3842,0.351197,1486,637568,62321,0,0,0,0,0,0,527,228
20,0,49.8195,12.2605,135.508,2,6.17242,51.6897,20.3791,0.260804,1411,737688,74398,0,0,0,0,0,0,527,0
21,0,168.51,4.95508,127.687,2,9.19189,51.2218,19.6694,0.266944,2058,1099594,73592,0,0,0,0,0,0,527,7
22,0,199.142,178.877,91.6501,2,2.20733,71.7124,21.7031,0.318743,1070,250236,63869,0,0,0,0,0,0,527,461
23,0,73.8338,82.2056,66.7034,1,7.66936,64.5372,26.6448,0.329504,1824,914894,63980,0,0,0,0,0,0,527,112
24,0,67.0335,34.1387,107.777,2,14.8556,57.2312,17.3149,0.298006,3907,1763180,66070,0,0,0,0,0,0,527,667
25,0,92.9887,3.93546,125.225,2,9.06891,59.8434,15.3914,0.281012,2013,1085302,71284,0,0,0,0,0,0,527,3
26,0,86.1819,240.905,122.233,2,6.2629,63.483,18.3167,0.293542,1424,748686,68645,0,0,0,0,0,0,527,3
