node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,175.491,182.627,76.6169,1,29.9139,62.1012,19.0985,0.370379,11592,3461030,58238,0,0,0,0,0,0,527,5591
1,0,159.37,195.009,77.9902,1,1.81624,86.616,24.1883,0.375402,387,217742,58462,0,0,0,0,0,0,527,0
2,0,211.677,223.328,131.077,2,5.64963,76.8978,14.1644,0.322373,1184,677788,70481,0,0,0,0,0,0,527,0
3,0,58.6594,2.84915,139.003,2,0.008448,25.5312,13.7622,0.131006,12,768,86826,0,0,0,0,0,0,527,0
4,0,116.013,200.553,76.0853,1,2.94285,71.6288,29.2718,0.346145,1115,341096,62606,0,0,0,0,0,0,527,507
5,0,38.4124,27.8273,130.154,2,0.170768,26.4383,12.3888,0.129993,542,8338,86313,0,0,0,0,0,0,527,527
6,0,22.2425,217.286,138.115,2,7.25283,33.3606,11.5295,0.17381,1518,870172,84065,0,0,0,0,0,0,527,0
7,0,110.518,32.2312,93.8923,2,0.008448,48.9505,26.8715,0.252768,12,768,70510,0,0,0,0,0,0,527,0
8,0,85.4024,101.698,45.9449,1,0.367424,59.2633,29.7737,0.298015,1181,17584,65201,0,0,0,0,0,0,527,1158
9,0,0.0664454,220.201,157.072,2,6.13923,29.3664,7.2535,0.14253,1286,736540,85569,0,0,0,0,0,0,527,0
10,0,236.442,233.763,155.72,2,2.82904,63.5851,15.3184,0.272442,598,339278,74417,0,0,0,0,0,0,527,0
11,0,13.9683,24.0889,150.037,2,3.27064,24.0526,3.37921,0.102342,690,392270,86424,0,0,0,0,0,0,527,0
12,0,221.601,99.6123,99.881,2,4.99203,74.6296,27.6031,0.357416,1047,598876,63489,0,0,0,0,0,0,527,0
13,0,238.556,186.099,128.949,2,3.99363,79.8633,18.7318,0.341963,839,479068,70173,0,0,0,0,0,0,527,0
