RoutingProtocol,NumberOfNodes,PosSeed,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec
aodv,50,1,15069,4961,10108,32.9219,138.353,0.182077
aodv,50,2,14235,4650,9585,32.666,126.809,0.226312
aodv,50,3,13511,3309,10202,24.4912,103.547,0.164486
aodv,50,4,12356,2083,10273,16.8582,74.6203,0.220961
aodv,50,5,10798,3117,7681,28.8665,116.661,0.189908
