RoutingProtocol,NumberOfNodes,PosSeed,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec
aodv,30,1,5247,2748,2499,52.3728,131.545,0.104007
aodv,30,2,4632,1861,2771,40.177,107.923,0.0850195
aodv,30,3,4917,2246,2671,45.6783,117.61,0.0831807
aodv,30,4,5557,2426,3131,43.6566,112.906,0.121324
aodv,30,5,4882,2194,2688,44.9406,113.449,0.0983456
