RoutingProtocol,NumberOfNodes,PosSeed,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec
aodv,10,1,1395,1368,27,98.0645,82.7945,0.0472046
aodv,10,2,1417,1074,343,75.7939,64.3131,0.0523722
aodv,10,3,1467,1013,454,69.0525,57.9058,0.0565359
aodv,10,4,1365,409,956,29.9634,25.1849,0.014724
aodv,10,5,1372,1093,279,79.6647,66.8352,0.0419302
