timestamp,protocol,nodes,trafficLevel,offered_rate_kbps,seed,simTime,txPkts,rxPkts,pdr,throughputKbps,avgDelaySec,avgJitterSec,unreachableSensors,routingOverheadPkts,total_phy_rx_drops,total_mac_queue_drops,total_max_retry_drops,total_ip_drop_no_route,total_ip_drop_ttl,total_ip_drop_route_error,total_ip_drop_queue,total_ip_drop_other,gw_airtime_busy_frac,ring1_airtime_busy_frac_mean,rest_airtime_busy_frac_mean,ring1_node_count
1789072507,olsr,75,high,16,20,300,78876,19028,24.1239,304.448,0.294376,0.130285,0,0,13805652,29112,2877,0,0,0,0,0,0.860889,0.852169,0.755556,28
1789072657,olsr,75,high,16,25,300,78667,22092,28.0829,353.472,0.308365,0.15129,0,0,12378504,33355,2222,67,0,0,0,0,0.883629,0.878785,0.748076,38
1789072799,olsr,75,high,16,30,300,77948,20752,26.6229,332.032,0.298395,0.137832,0,0,13666565,26774,2289,217,0,0,0,0,0.865664,0.858239,0.741947,30
1789073046,olsr,100,high,16,20,300,95701,12188,12.7355,195.008,0.362064,0.15474,0,0,19896528,47214,1436,2805,0,0,0,0,0.881684,0.867332,0.786513,33
1789073337,olsr,100,high,16,25,300,100584,16215,16.1209,259.44,0.35814,0.175838,0,0,18464544,46255,1791,1723,0,0,0,0,0.898382,0.890478,0.777633,49
1789073609,olsr,100,high,16,30,300,100657,14835,14.7382,237.36,0.36992,0.167501,0,0,20244647,40859,2045,820,0,0,0,0,0.888663,0.880385,0.781966,43
