dataset,protocol,nodes,traffic_or_rate,seed,metric,reference_value,rerun_value,absolute_difference,relative_difference_percent,tolerance,status
V3-CaseA,aodv,50,medium,25,AverageLinkUtilization,0.00100897,0.00100897,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,25,MaximumLinkUtilization,0.022378,0.022378,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,30,PacketsSent,26350,26350,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,30,PacketsReceived,5566,5566,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,30,PacketLoss,20784,20784,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,30,RoutingOverheadPackets,238325,238325,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,30,PathChanges,1808,1808,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,30,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,aodv,50,medium,30,PDR,21.1233,21.1233,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,30,ThroughputKbps,89.056,89.056,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,30,AverageDelaySec,0.325673,0.325673,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,30,AverageJitterSec,0.224314,0.224314,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,30,AverageHopCount,1.50934,1.50934,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,30,AverageLinkUtilization,0.00117991,0.00117991,0,0,0.01% relative,PASS
V3-CaseA,aodv,50,medium,30,MaximumLinkUtilization,0.016841,0.016841,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,20,PacketsSent,52700,52700,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,20,PacketsReceived,658,658,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,20,PacketLoss,52042,52042,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,20,RoutingOverheadPackets,576167,576167,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,20,PathChanges,3896,3896,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,20,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,20,PDR,1.24858,1.24858,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,20,ThroughputKbps,10.528,10.528,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,20,AverageDelaySec,0.481423,0.481423,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,20,AverageJitterSec,0.241595,0.241595,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,20,AverageHopCount,1.12462,1.12462,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,20,AverageLinkUtilization,0.000578351,0.000578351,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,20,MaximumLinkUtilization,0.00665077,0.00665077,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,25,PacketsSent,52700,52700,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,25,PacketsReceived,1105,1105,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,25,PacketLoss,51595,51595,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,25,RoutingOverheadPackets,551118,551118,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,25,PathChanges,3810,3810,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,25,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,25,PDR,2.09677,2.09677,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,25,ThroughputKbps,17.68,17.68,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,25,AverageDelaySec,0.456626,0.456626,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,25,AverageJitterSec,0.244523,0.244523,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,25,AverageHopCount,1.12851,1.12851,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,25,AverageLinkUtilization,0.000510743,0.000510743,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,25,MaximumLinkUtilization,0.0107572,0.0107572,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,30,PacketsSent,52700,52700,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,30,PacketsReceived,684,684,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,30,PacketLoss,52016,52016,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,30,RoutingOverheadPackets,568204,568204,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,30,PathChanges,3910,3910,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,30,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,aodv,100,medium,30,PDR,1.29791,1.29791,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,30,ThroughputKbps,10.944,10.944,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,30,AverageDelaySec,0.447017,0.447017,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,30,AverageJitterSec,0.229431,0.229431,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,30,AverageHopCount,1.15497,1.15497,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,30,AverageLinkUtilization,0.000587968,0.000587968,0,0,0.01% relative,PASS
V3-CaseA,aodv,100,medium,30,MaximumLinkUtilization,0.00971232,0.00971232,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,20,PacketsSent,5270,5270,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,20,PacketsReceived,2901,2901,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,20,PacketLoss,2369,2369,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,20,RoutingOverheadPackets,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,20,PathChanges,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,20,UnreachableSensors,0,0,0,0,exact (0),PASS
V3-CaseA,olsr,10,medium,20,PDR,55.0474,55.0474,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,20,ThroughputKbps,46.416,46.416,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,20,AverageDelaySec,0.0446302,0.0446302,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,20,AverageJitterSec,0.0146606,0.0146606,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,20,AverageHopCount,1.47397,1.47397,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,20,AverageLinkUtilization,0.014105,0.014105,0,0,0.01% relative,PASS
V3-CaseA,olsr,10,medium,20,MaximumLinkUtilization,0.0649882,0.0649882,0,0,0.01% relative,PASS
