Timestamp,Version,RoutingProtocol,NumberOfNodes,TrafficLevel,DataRate,MobilityMode,MobilitySpeed,Seed,Duration,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec,AverageJitterSec,RoutingOverheadPackets,AverageHopCount,HopCountMethod,PathChanges,AverageLinkUtilization,MaximumLinkUtilization,UnreachableSensors,SigmoidKRisk,SigmoidX0Risk,SigmoidKLoad,SigmoidX0Load,WeightRisk,WeightLoad
1788321821,v4,v4,30,low,4kbps,medium,5,20,300,7890,494,7396,6.26109,7.904,0.0486273,0.0213737,0,1.93333,exact,0,0.00408521,0.0167885,0,5,0.5,5,0.5,0.75,0.25
1788321825,v4,v4,30,low,4kbps,medium,5,21,300,7890,1451,6439,18.3904,23.216,0.0589367,0.0300234,0,1.46667,exact,0,0.00423639,0.017449,0,5,0.5,5,0.5,0.75,0.25
1788321830,v4,v4,30,low,4kbps,medium,5,22,300,7890,639,7251,8.09886,10.224,0.0443161,0.0228993,0,1.8,exact,0,0.00446986,0.0198451,0,5,0.5,5,0.5,0.75,0.25
1788321834,v4,v4,30,low,4kbps,medium,5,23,300,7890,750,7140,9.5057,12,0.0545908,0.0286237,0,1.8,exact,0,0.00457832,0.018985,0,5,0.5,5,0.5,0.75,0.25
1788321837,v4,v4,30,low,4kbps,medium,5,24,300,7890,1485,6405,18.8213,23.76,0.0558296,0.0300543,0,1.43333,exact,0,0.00410724,0.0158822,0,5,0.5,5,0.5,0.75,0.25
1788321842,v4,v4,30,low,4kbps,medium,5,25,300,7890,1758,6132,22.2814,28.128,0.0559252,0.028966,0,1.56667,exact,0,0.00387941,0.0171418,0,5,0.5,5,0.5,0.75,0.25
1788321845,v4,v4,30,low,4kbps,medium,5,26,300,7890,805,7085,10.2028,12.88,0.0593463,0.0307517,0,1.7,exact,0,0.00397121,0.0190157,0,5,0.5,5,0.5,0.75,0.25
1788321849,v4,v4,30,low,4kbps,medium,5,27,300,7890,1186,6704,15.0317,18.976,0.0428816,0.0209655,0,1.73333,exact,0,0.00336701,0.0117197,0,5,0.5,5,0.5,0.75,0.25
1788321854,v4,v4,30,low,4kbps,medium,5,28,300,7890,1494,6396,18.9354,23.904,0.0472652,0.0232299,0,1.55172,exact,0,0.00400119,0.0176947,1,5,0.5,5,0.5,0.75,0.25
1788321859,v4,v4,30,low,4kbps,medium,5,29,300,7890,1404,6486,17.7947,22.464,0.0781276,0.0352608,0,1.6,exact,0,0.00509258,0.0204902,0,5,0.5,5,0.5,0.75,0.25
1788321864,v4,v4,30,low,4kbps,medium,5,30,300,7890,1685,6205,21.3561,26.96,0.0612732,0.0324027,0,1.7,exact,0,0.00428269,0.0170342,0,5,0.5,5,0.5,0.75,0.25
