node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,max_retry_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
48,0,157.478,119.805,32.8912,1,9.44955,128.485,124.703,0.875458,2847,1112866,169089,179,0,0,0,0,0,0,1053,724
49,0,203.567,29.6379,123.559,2,12.6702,150.138,63.1135,0.753072,3176,1507554,184366,243,47,0,0,0,0,0,1046,356
50,0,129.157,79.2802,45.9085,1,9.32843,117.443,134.708,0.871597,3038,1093142,171622,659,0,0,0,0,0,0,1054,965
51,0,170.004,6.48762,126.77,2,13.3102,151.965,64.2866,0.765207,3777,1573126,183110,605,48,0,0,0,0,0,1043,818
52,0,217.73,136.849,93.4841,2,9.1603,135.197,97.3838,0.805805,2606,1082494,180491,158,27,7,0,0,0,0,1040,496
53,0,227.356,145.681,104.424,2,10.796,128.268,91.772,0.769454,2630,1286374,183493,188,39,3,0,0,0,0,1034,183
54,0,17.3287,39.7619,137.327,2,11.1556,146.915,55.4081,0.711594,2517,1334040,185953,41,78,0,0,0,0,0,1024,40
55,0,174.632,66.0141,77.089,1,7.37205,144.78,99.7088,0.839537,2415,863546,174322,319,7,0,0,0,0,0,1053,672
56,0,234.431,1.53245,164.983,2,10.4764,129.687,32.9369,0.577002,2366,1252768,194547,0,52,0,0,0,0,0,1026,35
57,0,163.961,212.456,95.7418,2,11.3533,141.465,87.2539,0.800241,2998,1347212,180123,182,23,2,0,0,0,0,1043,401
58,0,242.069,133.811,117.4,2,10.0938,123.096,89.0679,0.740858,2429,1203430,194210,46,37,0,0,0,0,0,1026,94
59,0,233.898,167.817,117.013,2,11.6232,125.471,79.9171,0.723372,2777,1386246,193915,115,97,2,0,0,0,0,1036,166
60,0,181.027,186.724,83.3601,1,8.30619,157.508,80.9619,0.822588,3057,964906,173989,199,9,4,0,0,0,0,1044,1174
61,0,46.6481,154.917,83.8692,1,7.11683,161.895,85.3324,0.847814,2274,835028,171570,207,1,0,0,0,0,0,1054,616
62,0,55.9965,19.0661,126.426,2,9.25269,150.958,74.3745,0.781952,2140,1105226,184223,63,19,0,0,0,0,0,1037,37
63,0,80.1372,77.1645,65.5813,1,8.57582,144.358,107.721,0.868851,3795,980898,171244,1894,0,7,0,0,0,0,1042,1954
64,0,36.3318,225.247,133.834,2,13.9768,149.014,50.5383,0.711762,3154,1671400,187139,82,134,0,0,0,0,0,1027,36
65,0,163.662,7.60633,123.596,2,10.3002,147.231,74.3147,0.77282,2835,1219480,184962,237,33,0,0,0,0,0,1048,496
66,0,140.079,52.1931,74.3519,1,5.47613,152.003,99.6483,0.857092,2593,622284,172577,290,1,54,0,0,0,0,1050,1226
67,0,32.6896,174.189,104.598,2,9.5969,165.204,67.0005,0.806006,2467,1140404,173947,154,11,0,0,0,0,0,1054,253
68,0,57.5197,24.3117,121.209,2,10.0096,155.571,74.1686,0.799165,2373,1194250,182412,239,33,0,0,0,0,0,1037,111
69,0,198.296,157.618,80.2264,1,7.23566,144.159,96.02,0.824717,3178,828186,176893,369,7,3,0,0,0,0,1041,1488
70,0,128.1,207.255,82.3132,1,8.02419,148.159,94.427,0.835368,2744,937168,177970,264,7,0,0,0,0,0,1043,891
71,0,61.1863,216.751,111.761,2,9.29694,166.866,59.7875,0.786503,2193,1109486,174485,90,23,5,0,0,0,0,1039,80
72,0,23.4499,27.3174,140.905,2,9.18846,144.838,54.8115,0.696127,2150,1096958,187150,38,51,0,0,0,0,0,1024,60
73,0,1.97953,36.7595,151.395,2,9.92976,144.159,39.5665,0.645519,2279,1186524,188197,24,48,0,0,0,0,0,1024,55
74,0,80.4709,27.6231,107.075,2,9.37854,151.52,86.1345,0.823442,2524,1111742,176756,437,10,26,0,0,0,0,1034,354
75,1,125,125,0,0,6.99392,133.302,119.403,0.865664,21163,366328,170217,32,0,0,0,0,0,0,0,0
