node_id,is_gateway,x,y,dist_to_gw_m,hop_to_gw,airtime_tx_s,airtime_rx_s,airtime_ccabusy_s,airtime_busy_frac,phy_tx_pkts,phy_tx_bytes,phy_rx_drops,mac_queue_drops,max_retry_drops,ip_drop_no_route,ip_drop_ttl,ip_drop_route_error,ip_drop_queue,ip_drop_other,app_pkts_originated,l3_unicast_forwarded
0,0,174.016,108.312,51.7793,1,6.62778,48.5906,15.5713,0.235966,2030,779752,38383,0,0,0,0,0,0,0,527,678
1,0,24.7061,45.2061,128.164,2,0.008448,30.7184,15.2854,0.153374,12,768,53362,0,0,0,0,0,0,0,527,0
2,0,37.6545,64.7946,106.085,2,3.83043,33.8241,19.4546,0.190364,805,459484,45450,0,1,0,0,0,0,0,527,0
3,0,155.227,43.7977,86.6459,1,7.53755,39.9236,15.2236,0.208949,2120,891314,41099,0,73,0,0,0,0,0,527,574
4,0,67.8888,190.314,86.7616,1,11.267,47.8955,13.0335,0.240653,5918,1266338,38289,0,21,0,0,0,0,0,527,3779
5,0,236.627,4.68248,164.124,2,0.008448,17.1761,7.41821,0.0820091,12,768,56878,0,0,0,0,0,0,0,527,0
6,0,132.985,101.702,24.6287,1,3.25994,57.3102,17.3924,0.259875,687,391004,35894,0,0,0,0,0,0,0,527,0
7,0,151.978,164.836,48.1116,1,6.51754,48.5937,19.4635,0.248582,1670,774612,37965,0,0,0,0,0,0,0,527,323
8,0,90.5151,76.4426,59.557,1,5.8244,51.251,18.2309,0.251021,2032,679282,38420,0,0,0,0,0,0,0,527,857
9,0,226.782,64.1468,118.586,2,2.15704,34.2845,11.0968,0.158461,458,258638,52224,0,14,0,0,0,0,0,527,0
10,0,57.8787,235.812,129.555,2,2.55544,48.9213,8.78084,0.200859,541,306446,46227,0,0,0,0,0,0,0,527,0
11,0,119.386,157.943,33.4182,1,5.31182,51.6901,19.8403,0.256141,1112,637290,37105,0,0,0,0,0,0,0,527,0
12,0,212.419,77.832,99.3324,2,0.008448,41.4004,14.0033,0.184707,12,768,42561,0,0,0,0,0,0,0,527,0
13,0,151.415,114.501,28.4249,1,5.41262,54.6745,17.5192,0.258688,1133,649386,36030,0,0,0,0,0,0,0,527,0
14,0,159.946,200.03,82.7693,1,0.008448,50.9044,20.6823,0.23865,12,768,41557,0,0,0,0,0,0,0,527,0
15,0,37.3611,57.669,110.517,2,4.10403,32.5781,18.633,0.184384,862,492316,46063,0,2,0,0,0,0,0,527,0
16,0,152.113,125.592,27.1197,1,3.33123,55.1149,19.3974,0.259478,701,399580,36380,0,0,0,0,0,0,0,527,0
17,0,179.965,153.887,62.0934,1,0.008448,49.3951,19.0807,0.228281,12,768,39927,0,0,0,0,0,0,0,527,0
18,0,224.194,154.178,103.396,2,3.16024,37.6542,15.1148,0.186431,667,379022,43539,0,2,0,0,0,0,0,527,0
19,0,37.9802,225.896,133.239,2,3.66243,49.4649,6.79827,0.199752,770,439324,45881,0,0,0,0,0,0,0,527,0
20,0,117.845,239.301,114.525,2,3.72963,48.3719,12.5229,0.215415,784,447388,40230,0,0,0,0,0,0,0,527,0
21,0,127.726,160.121,35.2269,1,3.26883,53.8242,19.5966,0.255632,688,392092,37272,0,0,0,0,0,0,0,527,0
22,0,189.51,166.546,76.7314,1,0.008448,46.6624,18.5727,0.217479,12,768,41256,0,0,0,0,0,0,0,527,0
23,0,18.1895,13.2702,154.57,2,1.95064,23.5225,5.06005,0.101777,415,233870,54604,0,3,0,0,0,0,0,527,0
24,0,242.423,166.549,124.557,2,0.008448,34.1289,9.37264,0.145033,12,768,52884,0,0,0,0,0,0,0,527,0
25,0,214.919,144.284,91.9634,2,1.29304,44.7947,15.4536,0.205138,278,154958,41730,0,0,0,0,0,0,0,527,0
26,0,30.3762,187.726,113.527,2,3.56163,48.2016,14.4001,0.220544,749,427228,40311,0,0,0,0,0,0,0,527,0
27,0,102.23,148.275,32.5608,1,3.30243,52.4632,20.5958,0.254538,695,396124,36882,0,0,0,0,0,0,0,527,0
28,0,112.967,102.034,25.9277,1,3.26883,55.5017,18.792,0.258542,688,392092,36366,0,0,0,0,0,0,0,527,0
29,0,5.55682,99.9359,122.045,2,0.008448,43.2217,15.7734,0.196679,12,768,50149,0,0,0,0,0,0,0,527,0
30,0,132.116,3.32951,121.878,2,1.27864,38.5893,13.4062,0.17758,275,153230,51219,0,0,0,0,0,0,0,527,0
31,0,114.625,11.9824,113.493,2,2.38264,39.2059,15.8794,0.19156,505,285710,42889,0,0,0,0,0,0,0,527,0
32,0,52.7271,211.047,112.372,2,5.73422,49.4815,9.38669,0.215341,1200,687978,39599,0,0,0,0,0,0,0,527,0
33,0,165.519,162.663,55.32,1,2.58424,53.1546,17.9198,0.245529,547,309902,38151,0,0,0,0,0,0,0,527,0
34,0,214.439,4.92229,149.726,2,2.10904,20.8478,7.72582,0.102276,448,252878,55236,0,16,0,0,0,0,0,527,0
35,0,247.619,34.3929,152.463,2,0.008448,20.8245,12.5444,0.111258,12,768,55665,0,0,0,0,0,0,0,527,0
36,0,181.493,68.3728,79.9883,1,0.008448,51.6664,15.9382,0.225377,12,768,39871,0,0,0,0,0,0,0,527,0
37,0,165.171,91.9175,52.04,1,5.32803,50.6286,15.064,0.236736,1117,639196,37857,0,0,0,0,0,0,0,527,0
38,0,53.8828,66.3327,92.1928,2,0.008448,45.0333,20.368,0.218032,12,768,43092,0,0,0,0,0,0,0,527,0
39,0,77.682,50.8563,87.9562,1,0.044416,49.0636,17.0615,0.220565,129,2456,40936,0,0,0,0,0,0,0,527,116
40,0,64.8041,78.738,75.9191,1,6.37973,46.0502,20.8934,0.244411,1452,762618,40181,0,2,0,0,0,0,0,527,117
41,0,14.1817,69.8522,123.782,2,4.90744,29.3515,15.81,0.166896,1031,588686,52658,0,21,0,0,0,0,0,527,0
42,0,229.515,162.306,110.974,2,5.24824,34.5982,12.3124,0.173863,1102,629582,43936,0,14,0,0,0,0,0,527,0
43,0,63.3386,178.828,81.851,1,0.008448,57.3004,16.2545,0.245211,12,768,38426,0,0,0,0,0,0,0,527,0
44,0,76.276,82.8563,64.4215,1,4.00323,49.8964,21.8692,0.252563,841,480220,39399,0,0,0,0,0,0,0,527,0
45,0,154.226,123.311,29.2749,1,3.29283,55.2467,19.0299,0.258565,693,394972,36368,0,0,0,0,0,0,0,527,0
46,0,181.258,162.431,67.5724,1,0.008448,48.3741,18.0706,0.221511,12,768,40299,0,0,0,0,0,0,0,527,0
47,0,91.8033,126.793,33.2451,1,5.26382,51.5523,21.3548,0.26057,1102,631530,36802,0,0,0,0,0,0,0,527,0
48,0,193.763,31.7434,115.867,2,0.008448,36.2055,15.029,0.17081,12,768,44411,0,0,0,0,0,0,0,527,0
49,0,85.267,230.941,113.147,2,5.89742,50.3092,8.45887,0.215552,1234,707562,39364,0,0,0,0,0,0,0,527,0
50,0,80.8256,86.2689,58.7493,1,2.51704,52.6457,22.3454,0.25836,533,301838,38421,0,0,0,0,0,0,0,527,0
51,0,102.632,88.4511,42.8503,1,0.008448,56.5858,20.9079,0.25834,12,768,36927,0,0,0,0,0,0,0,527,0
52,0,210.575,44.2514,117.658,2,0.008448,33.032,14.8251,0.159552,12,768,52821,0,0,0,0,0,0,0,527,0
53,0,5.79931,197.6,139.569,2,0.008448,41.7399,15.0355,0.189279,12,768,48366,0,0,0,0,0,0,0,527,0
54,0,13.8971,249.109,166.574,2,0.008448,41.6039,6.16061,0.159243,12,768,48373,0,0,0,0,0,0,0,527,0
55,0,114.146,194.844,70.6823,1,7.73582,49.683,14.5761,0.239983,1617,928170,38015,0,12,0,0,0,0,0,527,0
56,0,228.368,141.192,104.628,2,0.008448,40.8931,14.3458,0.184158,12,768,43474,0,0,0,0,0,0,0,527,0
57,0,159.309,111.695,36.799,1,5.54702,51.0021,15.8048,0.24118,1161,665514,37430,0,0,0,0,0,0,0,527,0
58,0,5.86871,124.802,119.131,2,1.85494,42.4067,17.1793,0.204803,396,222364,49521,0,2,0,0,0,0,0,527,0
59,0,21.2775,188.47,121.601,2,2.64184,45.4132,13.4646,0.205065,559,316814,46990,0,0,0,0,0,0,0,527,0
60,0,48.9164,177.52,92.4505,2,5.34133,52.7964,14.1726,0.241035,1119,640810,38642,0,0,0,0,0,0,0,527,0
61,0,125.346,243.454,118.454,2,3.33304,44.6443,13.5268,0.205014,703,399758,47402,0,2,0,0,0,0,0,527,0
62,0,188.215,82.1848,76.3496,1,4.38424,47.809,15.5056,0.225663,922,525902,39806,0,8,0,0,0,0,0,527,0
63,0,76.5117,57.4939,83.1155,1,0.008448,49.4137,18.1647,0.225289,12,768,40861,0,0,0,0,0,0,0,527,0
64,0,183,173.871,75.8449,1,0.008448,51.6342,19.8128,0.238185,12,768,39831,0,0,0,0,0,0,0,527,0
65,0,228.664,17.4135,149.402,2,0.008448,22.336,9.52625,0.106236,12,768,55277,0,0,0,0,0,0,0,527,0
66,0,187.243,210.97,106.137,2,3.63843,35.5141,20.9888,0.200471,765,436444,45346,0,0,0,0,0,0,0,527,0
67,0,93.2923,193.323,75.3216,1,2.78584,54.2655,14.2959,0.237824,589,334094,38052,0,26,0,0,0,0,0,527,0
68,0,33.801,230.577,139.513,2,6.82862,41.3838,7.13446,0.184489,1428,819306,46988,0,1,0,0,0,0,0,527,0
69,0,45.5718,109.809,80.8678,1,0.008448,52.5143,19.6107,0.240445,12,768,40765,0,0,0,0,0,0,0,527,0
70,0,68.3794,165.649,69.7008,1,3.29944,51.9547,19.3705,0.248749,696,395726,38721,0,2,0,0,0,0,0,527,0
71,0,80.1412,175.026,67.193,1,0.008448,55.914,19.1061,0.250095,12,768,38156,0,0,0,0,0,0,0,527,0
72,0,198.236,14.0937,132.905,2,1.42264,28.0249,10.5767,0.133414,305,170510,53774,0,3,0,0,0,0,0,527,0
73,0,100.718,133.356,25.6792,1,5.24462,52.4693,20.7185,0.261441,1098,629226,36610,0,0,0,0,0,0,0,527,0
74,0,75.6847,73.6293,71.2105,1,2.11864,46.4913,19.9711,0.228603,450,254030,40945,0,13,0,0,0,0,0,527,0
75,1,125,125,0,0,3.3901,53.8606,19.351,0.255339,11074,157986,37123,0,0,0,0,0,0,0,0,0
