RoutingProtocol,NumberOfNodes,PosSeed,PacketsSent,PacketsReceived,PacketLoss,PDR,ThroughputKbps,AverageDelaySec
static,10,1,1360,544,816,40,33.5726,0.0132704
static,10,2,1360,408,952,30,25.1794,0.0159086
static,10,3,1360,951,409,69.9265,58.6903,0.0412191
static,10,4,1360,408,952,30,25.1794,0.0253239
static,10,5,1360,1329,31,97.7206,82.0183,0.0581304
